CSFII 1994-96 Food Code	Food Description in 1994-96 CSFII	GI Value	Value used in DHQ database
26141160	"Sea bass, steamed or poached"	0	X
26141180	"Sea bass, pickled (Mero en escabeche)"		
26143110	"Shark, cooked, NS as to cooking method"		
26143120	"Shark, baked or broiled"		
26143160	"Shark, steamed or poached"	0	X
26145110	"Smelt, cooked, NS as to cooking method"		
26145120	"Smelt, baked or broiled"		
26145140	"Smelt, floured or breaded, fried"	95	X
26145150	"Smelt, battered, fried"	95	X
26145160	"Smelt, steamed or poached"		
26147110	"Sturgeon, cooked, NS as to cooking method"		
26147120	"Sturgeon, baked or broiled"		
26147130	"Sturgeon, steamed"		
26147140	"Sturgeon, floured or breaded, fried"		
26147190	"Sturgeon, smoked"		
26149110	"Swordfish, cooked, NS as to cooking method"	50	X
26149120	"Swordfish, baked or broiled"	50	X
26149140	"Swordfish, floured or breaded, fried"	95	X
26149160	"Swordfish, steamed or poached"	0	X
26151110	"Trout, cooked, NS as to cooking method"		
26151120	"Trout, baked or broiled"	50	X
26151130	"Trout, breaded or battered, baked"	95	X
26151140	"Trout, floured or breaded, fried"	95	X
26151150	"Trout, battered, fried"	95	X
26151160	"Trout, steamed or poached"	0	X
26151190	"Trout, smoked"	0	X
26153100	"Tuna, fresh, raw"	0	X
26153110	"Tuna, fresh, cooked, NS as to cooking method"		
26153120	"Tuna, fresh, baked or broiled"	50	X
26153140	"Tuna, fresh, floured or breaded, fried"	95	X
26153160	"Tuna, fresh, steamed or poached"	0	X
26153170	"Tuna, fresh, dried"		
26153190	"Tuna, fresh, smoked"		
26155110	"Tuna, canned, NS as to oil or water pack"	0	X
26155180	"Tuna, canned, oil pack"	0	X
26155190	"Tuna, canned, water pack"	0	X
26157110	"Whiting, cooked, NS as to cooking method"		
26157120	"Whiting, baked or broiled"	50	X
26157130	"Whiting, breaded or battered, baked"		
26157140	"Whiting, floured or breaded, fried"	95	X
26157150	"Whiting, battered, fried"	95	X
26157160	"Whiting, steamed or poached"		
26203110	"Frog legs, NS as to cooking method"		
26203160	"Frog legs, steamed"		
26204180	"Jellyfish, pickled"		
26205110	"Octopus, cooked, NS as to cooking method"	95	X
26205160	"Octopus, steamed"		
26205170	"Octopus, dried"		
26205180	"Octopus, dried, boiled"	50	X
26205190	"Octopus, smoked"		
26207110	"Roe, shad, cooked"	50	X
26209100	"Roe, herring"		
26211100	"Roe, sturgeon"	50	X
26212100	"Roe, sea urchin"		
26213100	"Squid, raw"		
26213120	"Squid, baked, broiled"	50	X
26213140	"Squid, breaded, fried"	95	X
26213160	"Squid, steamed or boiled"	50	X
26213170	"Squid, dried"		
26213180	"Squid, pickled"	50	X
26213190	"Squid, canned"	50	X
26215120	"Turtle (terrapin), cooked, NS as to cooking method"		
26215160	Turtle (terrapin) steamed or poached		
26301110	"Abalone, cooked, NS as to cooking method"		
26301140	"Abalone, floured or breaded, fried"		
26301160	"Abalone, steamed or poached"		
26303100	"Clams, raw"	50	X
26303110	"Clams, cooked, NS as to cooking method"		
26303120	"Clams, baked or broiled"	50	X
26303140	"Clams, floured or breaded, fried"	95	X
26303150	"Clams, battered, fried"	95	X
26303160	"Clams, steamed or boiled"	50	X
26303180	"Clams, canned"	50	X
26303190	"Clams, smoked, in oil"		
26304150	"Conch, battered, fried"		
26304200	"Conch, baked or broiled"	50	X
26305110	"Crab, cooked, NS as to cooking method"	0	X
26305120	"Crab, baked or broiled"	50	X
26305160	"Crab, hard shell, steamed"	0	X
26305180	"Crab, canned"		
26307140	"Crab, soft shell, floured or breaded, fried"	95	X
26309140	"Crayfish, floured or breaded, fried"	95	X
26309160	"Crayfish, boiled or steamed"		
26311110	"Lobster, cooked, NS as to cooking method"	50	X
26311120	"Lobster, baked or broiled"	50	X
26311130	"Lobster, without shell, steamed or boiled"	50	X
26311140	"Lobster, floured or breaded, fried"		
26311150	"Lobster, battered, fried"		
26311160	"Lobster, steamed or boiled"	50	X
26311180	"Lobster, canned"		
26313100	"Mussels, raw"		
26313110	"Mussels, cooked, NS as to cooking method"	95	X
26313160	"Mussels, steamed or poached"	50	X
26315100	"Oysters, raw"	50	X
26315110	"Oysters, cooked, NS as to cooking method"	95	X
26315120	"Oysters, baked or broiled"	50	X
26315130	"Oysters, steamed"		
26315140	"Oysters, floured or breaded, fried"	95	X
26315150	"Oysters, battered, fried"	95	X
26315180	"Oysters, canned"	50	X
26315190	"Oysters, smoked"	50	X
26317110	"Scallops, cooked, NS as to cooking method"	95	X
26317120	"Scallops, baked or broiled"	50	X
26317130	"Scallops, steamed or boiled"	50	X
26317140	"Scallops, floured or breaded, fried"	95	X
26317150	"Scallops, battered, fried"	95	X
26319110	"Shrimp, cooked, NS as to cooking method"	50	X
26319120	"Shrimp, baked or broiled"	50	X
26319130	"Shrimp, steamed or boiled"	50	X
26319140	"Shrimp, floured, breaded, or battered, fried"	95	X
26319170	"Shrimp, dried"		
26319180	"Shrimp, canned"	50	X
26321110	"Snails, cooked, NS as to cooking method"	50	X
26321160	"Snails, steamed or poached"		
27111000	Beef with tomato-based sauce (mixture)	36.7	X
27111050	"Spaghetti sauce with beef or meat other than lamb or mutton, homemade-style"	38	
27111100	Beef goulash	Null	X
27111200	Beef burgundy	Null	X
27111300	"Mexican style beef stew, no potatoes, tomato-based sauce (mixture) (Carne guisada sin papas)"	Null	X
27111310	"Mexican style beef stew, no potatoes, with chili peppers, tomato-based sauce (mixture) (Carne guisada con chile)"	Null	X
27111400	"Chili con carne, NS as to beans"	34	X
27111410	Chili con carne with beans	34	X
27111420	Chili con carne without beans	37.2	X
27111430	"Chili con carne, NS as to beans, with cheese"	33.9	X
27111440	Chili con carne with beans and cheese	33.9	X
27111500	Beef sloppy joe (no bun)	42.3	X
27112000	Beef with gravy (mixture)	70.6	X
27112010	Salisbury steak with gravy (mixture)	63.8	X
27112100	Beef bourguignonne	Null	X
27113000	Beef with cream or white sauce (mixture)	Null	X
27113100	Beef stroganoff	Null	X
27113200	Creamed chipped or dried beef	Null	X
27113300	Swedish meatballs with cream or white sauce (mixture)	Null	X
27114000	Beef with (mushroom) soup (mixture)	Null	X
27115000	Beef with soy-based sauce (mixture)	Null	X
27115100	Steak teriyaki with sauce (mixture)	Null	X
27116100	Beef curry	Null	X
27116200	Beef with barbecue sauce (mixture)	38	X
27116300	Beef with sweet and sour sauce (mixture)	Null	X
27116350	"Stewed, seasoned, ground beef, Mexican style (Picadillo de carne de rez)"	Null	X
27116400	Steak tartare (raw ground beef and egg)	Null	X
27118110	"Meatballs, Puerto Rican style (Albondigas)"	Null	X
27118120	"Stewed seasoned ground beef, Puerto Rican style (Picadillo guisado, picadillo de carne)"		
27118130	"Stewed dried beef, Puerto Rican style (Tasajo guisado, carne cecina guisada)"		
27118140	"Stuffed pot roast, Puerto Rican style, NFS (assume with gravy and stuffing)"		
27118180	"Puerto Rican style beef stew, meat with gravy (potatoes reported separately)"		
27120020	Ham or pork with gravy (mixture)		
27120030	Ham or pork with barbecue sauce (mixture)		
27120060	Sweet and sour pork		
27120080	Ham stroganoff		
27120090	Ham or pork with (mushroom) soup (mixture)		
27120100	Ham or pork with tomato-based sauce (mixture)		
27120110	Sausage with tomato-based sauce (mixture)		
27120120	Sausage gravy	50	X
27120130	"Mexican style pork stew, no potatoes, tomato-based sauce (mixture) (cerdo guisado sin papas)"		
27120150	Pork or ham with soy-based sauce (mixture)		
27120210	"Frankfurter or hot dog, with chili, no bun"		
27120250	Frankfurters or hot dogs with tomato-based sauce (mixture)		
27121000	Pork with chili and tomatoes (mixture) (Puerco con chile)		
27121010	"Stewed pork, Puerto Rican style"		
27121410	"Chili con carne with beans, made with pork"	34	X
27130010	Lamb or mutton with gravy (mixture)		
27130040	"Spaghetti sauce with lamb or mutton, homemade-style"	38	
27130050	Lamb or mutton goulash		
27130100	Lamb curry		
27133010	"Stewed goat, Puerto Rican style (Cabrito en fricase, chilindron de chivo)"		
27135010	Veal with gravy (mixture)		
27135020	Veal scallopini		
27135030	Veal with cream sauce (mixture)		
27135040	Veal with butter sauce (mixture)		
27135050	Veal Marsala		
27135110	Veal parmigiana		
27135150	Veal cordon bleu		
27136050	Venison/deer with tomato-based sauce (mixture)		
27136080	Venison/deer with gravy (mixture)		
27136100	Chili con carne with venison/deer and beans	34	X
27141000	Chicken or turkey cacciatore	61	X
27141030	"Spaghetti sauce with poultry, home-made style"	38	
27141050	"Stewed chicken with tomato-based sauce, Mexican style (mixture) (Pollo guisado con tomate)"	Null	X
27141500	Chili con carne with chicken or turkey and beans	33.9	X
27142000	Chicken with gravy (mixture)	Null	X
27142100	Chicken or turkey fricassee	Null	X
27142200	Turkey with gravy (mixture)	50	
27143000	Chicken or turkey with cream sauce (mixture)	Null	X
27144000	Chicken or turkey with (mushroom) soup (mixture)	Null	X
27145000	Chicken or turkey teriyaki (chicken or turkey with soy-based sauce)	57.2	X
27146000	Chicken or turkey with barbecue sauce (mixture)	38	X
27146050	Chicken wing with hot pepper sauce	Null	X
27146100	Sweet and sour chicken or turkey	53.3	X
27146150	Chicken curry	Null	X
27146200	Chicken or turkey with cheese sauce (mixture)	Null	X
27146250	Chicken or turkey cordon bleu	81.5	X
27146300	Chicken or turkey parmigiana	79	X
27146350	"Lemon chicken, Chinese style"	Null	X
27146400	Chicken kiev	Null	X
27148010	"Stuffed chicken, drumstick or breast, Puerto Rican style (Muslo de pollo o pechuga rellena)"	Null	X
27150010	"Fish with cream or white sauce, not tuna or lobster (mixture)"		
27150020	"Crab, deviled"		
27150030	Crab imperial		
27150050	Fish timbale or mousse		
27150060	Lobster newburg		
27150070	Lobster with butter sauce (mixture)		
27150100	"Shrimp, curried"		
27150110	Shrimp cocktail (shrimp with cocktail sauce)		
27150120	Tuna with cream or white sauce (mixture)		
27150130	Seafood newburg		
27150140	"Clam sauce, white"	27	X
27150160	Shrimp with lobster sauce (mixture)		
27150170	Sweet and sour shrimp		
27150190	Lobster sauce (broth-based)		
27150200	Oyster sauce (white sauce-based)		
27150210	Fish sauce (bagoong)		
27150230	Shrimp scampi		
27150250	"Fish moochim (Korean style), dried fish with soy sauce"		
27150310	Fish with tomato-based sauce (mixture)		
27150330	Mussels with tomato-based sauce (mixture)		
27150350	Sardines with tomato-based sauce (mixture)		
27150370	Sardines with mustard sauce (mixture)	0	X
27150410	Shrimp teriyaki (shrimp with soy-based sauce) (mixture)		
27150510	Scallops with cheese sauce (mixture)		
27151030	Marinated fish (Ceviche)		
27151040	"Crabs in tomato-based sauce, Puerto Rican style (mixture) (Salmorejo de jueyes)"		
27151050	"Shrimp in garlic sauce, Puerto Rican style (mixture) (Camarones al ajillo)"		
27151070	"Stewed codfish, Puerto Rican style"		
27160010	"Meat with barbecue sauce, NS as to type of meat (mixture)"	Null	X
27160100	"Meatballs, NS as to type of meat, with sauce (mixture)"	Null	X
27161010	Puerto Rican style meat loaf (Albondigon)		
27162010	Meat with tomato-based sauce (mixture)	Null	X
27162050	"Spaghetti sauce with combination of meats, homemade-style"	38	
27162500	"Stewed, seasoned, ground beef and pork, Mexican style (Picadillo de carne de rez y puerco)"		
27163010	"Meat with gravy, NS as to type of meat (mixture)"	Null	X
27211000	"Beef and potatoes, no sauce (mixture)"	Null	X
27211100	"Beef stew with potatoes, tomato-based sauce (mixture)"	69.7	X
27211110	"Mexican style beef stew with potatoes, tomato-based sauce (mixture) (Carne guisada con papas)"	Null	X
27211150	Beef goulash with potatoes	Null	X
27211170	Beef and potatoes with (mushroom) soup (mixture)	Null	X
27211190	Beef and potatoes with cream or white sauce (mixture)	Null	X
27211200	"Beef stew with potatoes, gravy"	Null	X
27211250	Beef and potatoes with gravy in pie crust (mixture)		
27211300	Beef (roast) hash	Null	X
27211400	Corned beef hash	Null	X
27211500	Beef and potatoes with cheese sauce (mixture)	Null	X
27211550	"Stewed, seasoned, ground beef with potatoes, Mexican style (Picadillo de carne de rez con papas)"	Null	X
27212000	"Beef and noodles, no sauce (mixture)"	Null	X
27212050	Beef and macaroni with cheese sauce (mixture)	Null	X
27212100	Beef and noodles with tomato-based sauce (mixture)	39.5	X
27212120	Chili con carne with beans and macaroni	40.5	X
27212150	Beef goulash with noodles	Null	X
27212200	Beef and noodles with gravy (mixture)	Null	X
27212300	Beef and noodles with cream or white sauce (mixture)	Null	X
27212350	Beef stroganoff with noodles	45.6	X
27212400	Beef and noodles with (mushroom) soup (mixture)	Null	X
27213000	"Beef and rice, no sauce (mixture)"	Null	X
27213100	Beef and rice with tomato-based sauce (mixture)	Null	X
27213120	Porcupine balls with tomato-based sauce (mixture)	Null	X
27213150	Chili con carne with beans and rice	54.6	X
27213200	Beef and rice with gravy (mixture)	Null	X
27213300	Beef and rice with cream sauce (mixture)		
27213400	Beef and rice with (mushroom) soup (mixture)	Null	X
27213420	Porcupine balls with (mushroom) soup (mixture)	Null	X
27213500	Beef and rice with soy-based sauce (mixture)	Null	X
27214100	Meat loaf made with beef	60.6	X
27214110	"Meat loaf made with beef, with tomato-based sauce"	55.8	X
27214300	Beef wellington		
27214500	Corned beef patty	Null	X
27214600	Creamed dried beef on toast		
27218110	Puerto Rican style stuffed pot roast (larded meat) (Carne mechada con papas boliche)		
27218210	Puerto-Rican style beef stew (Carne guisada con papas)		
27218310	"Stewed corned beef, Puerto Rican style (""Corned beef"" guisado)"	Null	X
27220010	Meat loaf made with ham (not luncheon meat)		
27220020	Ham and noodles with cream or white sauce (mixture)		
27220030	Ham and rice with (mushroom) soup (mixture)		
27220050	Ham or pork with stuffing (mixture)		
27220080	Ham croquette		
27220110	Pork and rice with tomato-based sauce (mixture)		
27220120	Sausage and rice with tomato-based sauce (mixture)		
27220150	Sausage and rice with (mushroom) soup (mixture)		
27220170	Sausage and rice with cheese sauce (mixture)		
27220190	Sausage and noodles with cream or white sauce (mixture)		
27220210	"Ham and noodles, no sauce (mixture)"		
27220310	"Ham or pork and rice, no sauce (mixture)"		
27220510	Ham or pork and potatoes with gravy (mixture)		
27220520	Ham or pork and potatoes with cheese sauce (mixture)		
27221100	"Stewed pig's feet, Puerto Rican style (Patitas de cerdo guisadas)"		
27221110	"Pork roast, stuffed, Puerto Rican style"		
27221150	"Mexican style pork stew, with potatoes, tomato-based sauce (mixture) (cerdo guisado con papas)"		
27230010	Lamb or mutton loaf		
27231000	Lamb or mutton and potatoes with gravy (mixture)		
27232000	Lamb or mutton and potatoes with tomato-based sauce (mixture)		
27233000	Lamb or mutton and noodles with gravy (mixture)		
27235000	Meat loaf made with venison / deer		
27235750	Veal and noodles with cream or white sauce (mixture)		
27236000	Venison/deer and noodles with cream or white sauce (mixture)		
27241000	Chicken or turkey hash	Null	X
27241010	Chicken or turkey and potatoes with gravy (mixture)	Null	X
27242000	"Chicken or turkey and noodles, no sauce (mixture)"	40	X
27242200	Chicken or turkey and noodles with gravy (mixture)	Null	X
27242250	Chicken or turkey and noodles with (mushroom) soup (mixture)	Null	X
27242300	Chicken or turkey and noodles with cream or white sauce (mixture)	46.3	X
27242310	Chicken or turkey and noodles with cheese sauce (mixture)	Null	X
27242350	Chicken or turkey tetrazzini	Null	X
27242400	"Chicken or turkey and noodles, tomato-based sauce (mixture)"	Null	X
27243000	"Chicken or turkey and rice, no sauce (mixture)"	Null	X
27243300	Chicken or turkey and rice with cream sauce (mixture)	Null	X
27243400	Chicken or turkey and rice with (mushroom) soup (mixture)	Null	X
27243500	Chicken or turkey and rice with tomato-based sauce (mixture)	Null	X
27243600	Chicken or turkey and rice with soy-based sauce (mixture)	Null	X
27243700	Chicken in cheese sauce with Spanish rice	Null	X
27246100	Chicken or turkey with dumplings (mixture)	90.7	X
27246200	Chicken or turkey with stuffing (mixture)	Null	X
27246300	"Chicken or turkey cake, patty, or croquette"	95	X
27246400	Chicken or turkey souffle		
27246500	Meat loaf made with chicken or turkey	60.1	X
27250020	"Clams, stuffed"		
27250030	Codfish ball or cake		
27250040	Crab cake		
27250050	"Fish cake or patty, NS as to fish"		
27250060	Gefilte fish		
27250070	Salmon cake or patty		
27250080	Salmon loaf		
27250110	Scallops and noodles with cheese sauce (mixture)		
27250130	Shrimp and noodles with cheese sauce (mixture)		
27250150	Tuna loaf		
27250160	Tuna cake or patty	79.3	
27250210	Clam cake or patty		
27250220	Oyster fritter		
27250250	Flounder with crab stuffing		
27250260	"Lobster with bread stuffing, baked"		
27250270	Clams Casino		
27250300	Mackerel cake or patty		
27250310	Haddock cake or patty		
27250400	Shrimp cake or patty		
27250410	Shrimp with crab stuffing		
27250450	"Shrimp toast, fried"		
27250500	Kamaboko (Japanese fish cake)		
27250510	Fish cake (Kamaboko) tempura		
27250520	Seafood restructured		
27250550	Seafood souffle		
27250610	Tuna noodle casserole with cream or white sauce	59.2	
27250630	Tuna noodle casserole with (mushroom) soup	52.3	
27250710	Tuna and rice with (mushroom) soup (mixture)	51.8	
27250810	Fish and rice with tomato-based sauce		
27250820	Fish and rice with cream sauce		
27250830	Fish and rice with (mushroom) soup		
27250900	Fish and noodles with (mushroom) soup		
27250950	"Shellfish mixture and noodles, tomato-based sauce (mixture)"		
27251010	"Stewed salmon, Puerto Rican style (Salmon guisado)"		
27260010	"Meat loaf, NS as to type of meat"	Null	X
27260050	"Meatballs, with breading, NS as to type of meat, with gravy"		
27260080	Meat loaf made with beef and pork	Null	X
27260090	"Meat loaf made with beef, veal and pork"	Null	X
27260100	"Meat loaf made with beef and pork, with tomato-based sauce"	Null	X
27260110	"Hash, NS as to type of meat"	Null	X
27260500	"Vienna sausages stewed with potatoes, Puerto Rican style (Salchichas guisadas)"		
27260510	Liver dumpling	50	X
27260550	Liver hash		
27261000	"Breaded brains, Puerto Rican style (Sesos rebosados)"		
27261500	"Stewed, seasoned, ground beef and pork, with potatoes, Mexican style (Picadillo de carne de rez y puerco con papas)"		
27311110	"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"	Null	X
27311120	"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"	Null	X
27311210	"Corned beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"	Null	X
27311220	"Corned beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"	Null	X
27311310	"Beef stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"	62.6	X
27311320	"Beef stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"	Null	X
27311410	"Beef stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy"	63.6	X
27311420	"Beef stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy"	Null	X
27311510	Shepherd's pie with beef	Null	X
27311610	"Beef, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), (mushroom) soup (mixture)"	Null	X
27311620	"Beef, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), (mushroom) soup (mixture)"	Null	X
27313010	"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"	Null	X
27313020	"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"		
27313110	Beef chow mein or chop suey with noodles	Null	X
27313150	"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"	Null	X
27313160	"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"		
27313210	"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"	Null	X
27313220	"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"	Null	X
27313310	"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), (mushroom) soup (mixture)"	Null	X
27313320	"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), (mushroom) soup (mixture)"	34.7	X
27313410	"Beef, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"	Null	X
27313420	"Beef, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"	Null	X
27315010	"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"	Null	X
27315020	"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"	Null	X
27315210	"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"	Null	X
27315220	"Beef, rice, and vegetables (excluding carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"	Null	X
27315250	Stuffed cabbage rolls with beef and rice	Null	X
27315270	Stuffed grape leaves with beef and rice		
27315310	"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), (mushroom) soup (mixture)"	47.4	X
27315320	"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), (mushroom) soup (mixture)"	49.1	X
27315410	"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"	Null	X
27315420	"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"	Null	X
27315510	"Beef, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"	Null	X
27315520	"Beef, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"	Null	X
27317010	Beef pot pie	45	X
27317100	"Beef, dumplings, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"	Null	X
27317110	"Beef, dumplings, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"		
27319010	"Stuffed green pepper, Puerto Rican style (Pimiento relleno)"	Null	X
27320020	Ham pot pie		
27320030	"Ham or pork, noodles and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"		
27320040	"Pork, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"		
27320070	"Ham or pork, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"		
27320080	"Sausage, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"		
27320090	"Sausage, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"		
27320100	"Pork, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"		
27320110	"Pork, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"		
27320120	"Sausage, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"		
27320130	"Sausage, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"		
27320140	"Pork, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"		
27320150	"Pork, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"		
27320210	"Pork, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"		
27320310	Pork chow mein or chop suey with noodles		
27320320	"Pork, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), soy-based sauce (mixture)"		
27320330	"Pork, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), soy-based sauce (mixture)"		
27320340	"Pork, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"		
27320350	"Pork, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"		
27320410	"Ham, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"		
27320450	"Ham, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"		
27320500	Sweet and sour pork with rice		
27330010	Shepherd's pie with lamb		
27330030	"Lamb or mutton stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy"		
27330050	"Lamb or mutton, rice, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"		
27330060	"Lamb or mutton, rice, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"		
27330080	"Lamb or mutton, rice, and vegetables  (including carrots, broccoli, and/or dark-green leafy), gravy"		
27330110	"Lamb or mutton stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy"		
27330170	Stuffed grape leaves with lamb and rice		
27330210	"Lamb or mutton stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"		
27330220	"Lamb or mutton stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"		
27331150	"Veal fricassee, Puerto Rican style (ternera en fricase)"		
27332100	"Veal stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"		
27332110	"Veal stew with potatoes and vegetables (excluding carrots, broccoli, and/or dark-green leafy), tomato-based sauce"		
27335100	Rabbit stew with potatoes and vegetables		
27335500	"Stewed rabbit, Puerto Rican style (Fricase de conejo)"		
27336100	"Venison/deer stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"		
27336150	"Venison/deer stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce"		
27336200	"Venison/deer, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"		
27336250	"Venison/deer, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"		
27336300	"Venison/deer, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"		
27336310	"Venison/deer, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"		
27341010	"Chicken or turkey, potatoes, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"	Null	X
27341020	"Chicken or turkey, potatoes, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"	Null	X
27341310	"Chicken or turkey stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy"	Null	X
27341320	"Chicken or turkey stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy"	Null	X
27341510	"Chicken or turkey stew with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce"	Null	X
27341520	"Chicken or turkey stew with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato- based sauce"	Null	X
27343010	"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), no sauce (mixture)"	Null	X
27343020	"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), no sauce (mixture)"	Null	X
27343410	"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), gravy (mixture)"	Null	X
27343420	"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), gravy (mixture)"	Null	X
27343470	"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), cream, white, or (mushroom) soup-based sauce (mixture)"	Null	X
27343480	"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and/or dark-green leafy), cream, white, or (mushroom) soup-based sauce (mixture)"	Null	X
27343510	"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), tomato-based sauce (mixture)"	Null	X
27343520	"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), tomato-based sauce (mixture)"	Null	X
27343910	Chicken or turkey chow mein or chop suey with noodles	Null	X
27343950	"Chicken or turkey, noodles, and vegetables (including carrots, broccoli, and/or dark-green leafy), cheese sauce (mixture)"	Null	X
27343960	"Chicken or turkey, noodles, and vegetables (excluding carrots, broccoli, and dark-green leafy), cheese sauce (mixture)"	Null	X
